ID,Daypart,Visit#Daypart
89100,11 AM - before 2 PM,2
89100,2 PM - before 5 PM,2
89100,5 PM - before 9 PM,4
89100,9 PM or later,4
89101,5 PM - before 9 PM,1
89101,Before 9 AM,2
89102,11 AM - before 2 PM,3
89102,2 PM - before 5 PM,4
89102,5 PM - before 9 PM,1
89102,9 AM - before 11 AM,2
89613,5 PM - before 9 PM,4
89616,9 AM - before 11 AM,10
89618,2 PM - before 5 PM,1
89618,5 PM - before 9 PM,2
89963,2 PM - before 5 PM,20
89963,Before 9 AM,10
89965,9 AM - before 11 AM,4
89965,Before 9 AM,4
89967,Before 9 AM,4
90338,Before 9 AM,8
90339,Before 9 AM,3
90418,11 AM - before 2 PM,3
90418,Before 9 AM,1
90419,5 PM - before 9 PM,4
90421,5 PM - before 9 PM,4
90421,Before 9 AM,20
90422,11 AM - before 2 PM,5
90422,2 PM - before 5 PM,5
90423,5 PM - before 9 PM,3
90424,11 AM - before 2 PM,4
90424,2 PM - before 5 PM,3
90424,5 PM - before 9 PM,2
90424,Before 9 AM,3
90519,5 PM - before 9 PM,4
91139,Before 9 AM,2
91140,11 AM - before 2 PM,4
91142,2 PM - before 5 PM,1
91142,5 PM - before 9 PM,2
91143,5 PM - before 9 PM,2
91143,Before 9 AM,10
91323,Before 9 AM,8
91439,5 PM - before 9 PM,3
91489,5 PM - before 9 PM,8
91490,5 PM - before 9 PM,5
91490,Before 9 AM,3
91770,2 PM - before 5 PM,4
91770,5 PM - before 9 PM,5
91801,Before 9 AM,8
91852,5 PM - before 9 PM,6
91852,Before 9 AM,10
91853,5 PM - before 9 PM,3
91853,Before 9 AM,1
91854,2 PM - before 5 PM,2
91854,5 PM - before 9 PM,2
91854,9 AM - before 11 AM,8
91855,2 PM - before 5 PM,8
91855,9 AM - before 11 AM,10
92021,5 PM - before 9 PM,8
92021,9 AM - before 11 AM,4
92022,11 AM - before 2 PM,4
92023,5 PM - before 9 PM,8
92071,5 PM - before 9 PM,2
92071,9 AM - before 11 AM,2
92072,9 AM - before 11 AM,4
92073,11 AM - before 2 PM,1
92073,9 AM - before 11 AM,3
92075,2 PM - before 5 PM,3
92075,Before 9 AM,7
92076,2 PM - before 5 PM,3
92078,5 PM - before 9 PM,4
92079,2 PM - before 5 PM,4
92079,9 AM - before 11 AM,4
92157,5 PM - before 9 PM,5
92157,9 AM - before 11 AM,3
92182,5 PM - before 9 PM,4
92183,9 AM - before 11 AM,4
92200,9 AM - before 11 AM,1
92200,Before 9 AM,2
92316,2 PM - before 5 PM,4
92316,5 PM - before 9 PM,4
92316,9 AM - before 11 AM,4
92317,5 PM - before 9 PM,3
92317,Before 9 AM,3
92564,5 PM - before 9 PM,3
92584,5 PM - before 9 PM,4
92584,9 AM - before 11 AM,4
92610,5 PM - before 9 PM,17
92610,Before 9 AM,13
92615,5 PM - before 9 PM,7
92615,Before 9 AM,5
92616,9 AM - before 11 AM,2
92616,Before 9 AM,2
92622,5 PM - before 9 PM,4
92622,Before 9 AM,4
92639,5 PM - before 9 PM,4
92640,5 PM - before 9 PM,1
92640,9 PM or later,1
92641,5 PM - before 9 PM,10
92641,9 PM or later,2
92690,9 AM - before 11 AM,10
92690,Before 9 AM,20
92719,5 PM - before 9 PM,3
92719,9 PM or later,1
92738,Before 9 AM,3
92810,2 PM - before 5 PM,2
92810,Before 9 AM,1
92812,11 AM - before 2 PM,1
92812,5 PM - before 9 PM,2
92813,5 PM - before 9 PM,2
92813,9 AM - before 11 AM,2
92815,2 PM - before 5 PM,4
92816,5 PM - before 9 PM,10
92820,5 PM - before 9 PM,8
92821,5 PM - before 9 PM,12
92821,Before 9 AM,12
92839,5 PM - before 9 PM,4
92874,Before 9 AM,30
92875,5 PM - before 9 PM,6
92875,Before 9 AM,3
92918,Before 9 AM,30
92972,5 PM - before 9 PM,4
92972,Before 9 AM,5
93048,Before 9 AM,30
93050,9 AM - before 11 AM,24
93066,Before 9 AM,3
93165,11 AM - before 2 PM,10
93165,2 PM - before 5 PM,10
93165,Before 9 AM,10
93166,9 AM - before 11 AM,2
93167,5 PM - before 9 PM,2
93167,9 AM - before 11 AM,2
93168,11 AM - before 2 PM,15
93168,2 PM - before 5 PM,8
93168,5 PM - before 9 PM,2
93168,9 AM - before 11 AM,3
93168,Before 9 AM,2
93183,2 PM - before 5 PM,9
93183,5 PM - before 9 PM,8
93183,9 AM - before 11 AM,8
93183,Before 9 AM,5
93185,2 PM - before 5 PM,1
93185,9 AM - before 11 AM,3
93186,2 PM - before 5 PM,4
93188,Before 9 AM,3
93191,9 AM - before 11 AM,5
93191,Before 9 AM,5
93207,Before 9 AM,4
93327,5 PM - before 9 PM,12
93328,5 PM - before 9 PM,12
93385,5 PM - before 9 PM,16
93386,5 PM - before 9 PM,4
93387,5 PM - before 9 PM,2
93387,9 PM or later,3
93388,2 PM - before 5 PM,2
93388,5 PM - before 9 PM,2
93389,Before 9 AM,24
93390,9 AM - before 11 AM,2
93391,5 PM - before 9 PM,3
93391,9 AM - before 11 AM,2
93392,2 PM - before 5 PM,5
93979,5 PM - before 9 PM,4
93980,11 AM - before 2 PM,14
93980,5 PM - before 9 PM,10
93981,5 PM - before 9 PM,4
93981,9 AM - before 11 AM,4
93982,5 PM - before 9 PM,4
93982,9 AM - before 11 AM,4
94027,5 PM - before 9 PM,4
94027,9 AM - before 11 AM,4
94132,5 PM - before 9 PM,4
94132,9 PM or later,4
94133,9 AM - before 11 AM,4
94134,2 PM - before 5 PM,5
94134,5 PM - before 9 PM,25
94136,11 AM - before 2 PM,3
94136,5 PM - before 9 PM,4
94137,Before 9 AM,30
94138,5 PM - before 9 PM,3
94201,5 PM - before 9 PM,30
94202,11 AM - before 2 PM,2
94202,5 PM - before 9 PM,3
94203,Before 9 AM,30
94204,2 PM - before 5 PM,24
94204,Before 9 AM,8
94205,5 PM - before 9 PM,30
94206,Before 9 AM,8
94210,5 PM - before 9 PM,4
94211,9 AM - before 11 AM,4
94214,5 PM - before 9 PM,6
94214,9 AM - before 11 AM,2
94215,5 PM - before 9 PM,3
94215,9 PM or later,5
94216,5 PM - before 9 PM,4
94225,5 PM - before 9 PM,6
94225,Before 9 AM,6
94226,11 AM - before 2 PM,4
94226,5 PM - before 9 PM,4
94227,Before 9 AM,4
94647,Before 9 AM,30
94741,9 AM - before 11 AM,16
94803,11 AM - before 2 PM,4
94803,9 AM - before 11 AM,4
94804,5 PM - before 9 PM,2
94804,9 PM or later,1
94805,2 PM - before 5 PM,2
94805,5 PM - before 9 PM,3
94805,9 AM - before 11 AM,3
94806,5 PM - before 9 PM,5
94806,Before 9 AM,7
94838,Before 9 AM,24
94868,5 PM - before 9 PM,24
94869,5 PM - before 9 PM,5
94869,Before 9 AM,5
94870,5 PM - before 9 PM,6
94870,Before 9 AM,6
94871,Before 9 AM,12
94981,Before 9 AM,30
94984,5 PM - before 9 PM,6
94984,9 AM - before 11 AM,4
94985,5 PM - before 9 PM,10
94986,9 AM - before 11 AM,2
94986,Before 9 AM,2
94987,5 PM - before 9 PM,9
94988,5 PM - before 9 PM,3
94991,5 PM - before 9 PM,3
95051,Before 9 AM,15
95052,Before 9 AM,4
95055,Before 9 AM,4
95189,5 PM - before 9 PM,5
95189,Before 9 AM,7
95190,11 AM - before 2 PM,10
95190,Before 9 AM,10
95191,Before 9 AM,5
95192,5 PM - before 9 PM,4
95192,Before 9 AM,8
95193,5 PM - before 9 PM,5
95250,5 PM - before 9 PM,2
95250,Before 9 AM,1
95252,5 PM - before 9 PM,10
95252,Before 9 AM,20
95253,5 PM - before 9 PM,3
95254,5 PM - before 9 PM,3
95254,9 PM or later,2
95719,11 AM - before 2 PM,2
95719,2 PM - before 5 PM,2
95719,5 PM - before 9 PM,2
95719,9 AM - before 11 AM,2
95720,2 PM - before 5 PM,5
95720,5 PM - before 9 PM,10
95720,Before 9 AM,15
95723,5 PM - before 9 PM,3
95723,Before 9 AM,6
95725,2 PM - before 5 PM,3
95725,9 AM - before 11 AM,1
95727,5 PM - before 9 PM,1
95727,Before 9 AM,3
95729,11 AM - before 2 PM,3
95729,5 PM - before 9 PM,4
95729,Before 9 AM,3
95731,11 AM - before 2 PM,2
95731,Before 9 AM,2
95733,11 AM - before 2 PM,2
95733,5 PM - before 9 PM,4
95733,9 AM - before 11 AM,3
95770,5 PM - before 9 PM,30
95771,Before 9 AM,4
95772,Before 9 AM,5
95773,Before 9 AM,8
95834,2 PM - before 5 PM,2
95834,5 PM - before 9 PM,3
95834,9 AM - before 11 AM,3
95847,5 PM - before 9 PM,3
95847,9 AM - before 11 AM,2
95848,5 PM - before 9 PM,8
95848,Before 9 AM,12
95908,5 PM - before 9 PM,10
95908,Before 9 AM,20
95909,5 PM - before 9 PM,8
95909,Before 9 AM,22
95910,5 PM - before 9 PM,30
95911,2 PM - before 5 PM,4
95911,5 PM - before 9 PM,12
95911,Before 9 AM,4
95912,2 PM - before 5 PM,5
95912,5 PM - before 9 PM,5
95913,11 AM - before 2 PM,2
95913,2 PM - before 5 PM,3
95913,5 PM - before 9 PM,3
96122,5 PM - before 9 PM,5
96306,2 PM - before 5 PM,15
96306,9 AM - before 11 AM,15
96307,Before 9 AM,4
96308,5 PM - before 9 PM,2
96500,5 PM - before 9 PM,2
96500,Before 9 AM,6
96542,11 AM - before 2 PM,5
96542,Before 9 AM,5
96566,5 PM - before 9 PM,4
96566,Before 9 AM,4
96567,5 PM - before 9 PM,6
96567,Before 9 AM,6
96568,11 AM - before 2 PM,1
96568,Before 9 AM,2
96598,5 PM - before 9 PM,4
96599,11 AM - before 2 PM,1
96599,2 PM - before 5 PM,3
96600,2 PM - before 5 PM,1
96600,5 PM - before 9 PM,1
96601,11 AM - before 2 PM,2
96601,5 PM - before 9 PM,4
96601,Before 9 AM,2
96602,2 PM - before 5 PM,5
96602,5 PM - before 9 PM,11
96602,9 AM - before 11 AM,4
96719,11 AM - before 2 PM,2
96719,9 AM - before 11 AM,2
97076,2 PM - before 5 PM,5
97076,5 PM - before 9 PM,8
97076,9 AM - before 11 AM,7
97077,2 PM - before 5 PM,1
97077,9 AM - before 11 AM,3
97078,5 PM - before 9 PM,3
97079,2 PM - before 5 PM,1
97079,5 PM - before 9 PM,3
97079,9 AM - before 11 AM,2
97079,9 PM or later,2
97088,11 AM - before 2 PM,1
97088,9 PM or later,1
97089,5 PM - before 9 PM,2
97090,2 PM - before 5 PM,3
97091,5 PM - before 9 PM,2
97091,9 PM or later,1
97099,5 PM - before 9 PM,2
97099,9 AM - before 11 AM,1
97100,5 PM - before 9 PM,2
97100,9 PM or later,2
97103,2 PM - before 5 PM,1
97103,5 PM - before 9 PM,3
97109,5 PM - before 9 PM,4
97109,9 AM - before 11 AM,1
97109,9 PM or later,3
97111,2 PM - before 5 PM,2
97111,5 PM - before 9 PM,3
97111,9 PM or later,3
97111,Before 9 AM,2
97112,11 AM - before 2 PM,2
97112,2 PM - before 5 PM,5
97112,5 PM - before 9 PM,4
97112,9 PM or later,4
97112,Before 9 AM,5
97143,2 PM - before 5 PM,2
97143,5 PM - before 9 PM,5
97143,9 AM - before 11 AM,2
97144,5 PM - before 9 PM,5
97144,9 AM - before 11 AM,3
97152,11 AM - before 2 PM,28
97153,5 PM - before 9 PM,1
97153,9 AM - before 11 AM,1
97195,5 PM - before 9 PM,5
97195,Before 9 AM,5
97202,5 PM - before 9 PM,2
97203,11 AM - before 2 PM,30
97203,Before 9 AM,30
97213,Before 9 AM,12
97223,9 AM - before 11 AM,4
97224,2 PM - before 5 PM,2
97224,5 PM - before 9 PM,2
97229,Before 9 AM,5
97230,9 PM or later,4
97234,5 PM - before 9 PM,4
97473,11 AM - before 2 PM,2
97473,2 PM - before 5 PM,1
97474,11 AM - before 2 PM,1
97474,5 PM - before 9 PM,2
97476,11 AM - before 2 PM,3
97476,2 PM - before 5 PM,4
97476,5 PM - before 9 PM,5
97484,5 PM - before 9 PM,2
97485,11 AM - before 2 PM,2
97485,2 PM - before 5 PM,2
97485,5 PM - before 9 PM,2
97485,9 AM - before 11 AM,4
97487,5 PM - before 9 PM,2
97488,5 PM - before 9 PM,2
97492,5 PM - before 9 PM,3
97493,2 PM - before 5 PM,1
97493,5 PM - before 9 PM,2
97493,9 AM - before 11 AM,1
97496,11 AM - before 2 PM,2
97496,Before 9 AM,2
97497,9 PM or later,2
97501,5 PM - before 9 PM,3
97501,9 AM - before 11 AM,1
97503,9 AM - before 11 AM,2
97503,Before 9 AM,2
97504,5 PM - before 9 PM,3
97506,5 PM - before 9 PM,4
97506,9 PM or later,1
97507,11 AM - before 2 PM,6
97507,5 PM - before 9 PM,4
97509,11 AM - before 2 PM,1
97509,2 PM - before 5 PM,1
97509,5 PM - before 9 PM,1
97511,11 AM - before 2 PM,2
97511,5 PM - before 9 PM,2
97512,11 AM - before 2 PM,3
97512,5 PM - before 9 PM,3
97512,Before 9 AM,2
97513,2 PM - before 5 PM,3
97513,Before 9 AM,1
97516,2 PM - before 5 PM,4
97516,5 PM - before 9 PM,6
97536,Before 9 AM,4
97695,9 PM or later,3
97697,5 PM - before 9 PM,2
97697,9 AM - before 11 AM,2
98051,5 PM - before 9 PM,2
98052,5 PM - before 9 PM,4
98053,2 PM - before 5 PM,1
98053,5 PM - before 9 PM,1
98081,9 AM - before 11 AM,6
98081,Before 9 AM,6
98099,11 AM - before 2 PM,10
98099,Before 9 AM,20
98100,5 PM - before 9 PM,4
98100,9 PM or later,4
98101,9 AM - before 11 AM,2
98101,Before 9 AM,4
98102,5 PM - before 9 PM,4
98102,9 PM or later,3
98102,Before 9 AM,1
98107,11 AM - before 2 PM,20
98107,5 PM - before 9 PM,30
98107,Before 9 AM,25
98113,5 PM - before 9 PM,1
98113,9 AM - before 11 AM,2
98114,11 AM - before 2 PM,6
98114,5 PM - before 9 PM,14
98115,2 PM - before 5 PM,30
98115,Before 9 AM,30
98116,5 PM - before 9 PM,15
98116,Before 9 AM,15
98117,5 PM - before 9 PM,2
98117,Before 9 AM,2
98119,Before 9 AM,10
98120,Before 9 AM,30
98121,5 PM - before 9 PM,5
98121,Before 9 AM,25
98122,Before 9 AM,2
98123,Before 9 AM,5
98124,Before 9 AM,20
98279,5 PM - before 9 PM,8
98279,Before 9 AM,20
98280,5 PM - before 9 PM,10
98280,Before 9 AM,10
98281,5 PM - before 9 PM,10
98282,2 PM - before 5 PM,4
98283,5 PM - before 9 PM,5
98284,Before 9 AM,30
98285,2 PM - before 5 PM,20
98285,Before 9 AM,10
98509,Before 9 AM,30
98510,Before 9 AM,5
98511,Before 9 AM,3
99586,2 PM - before 5 PM,5
99664,5 PM - before 9 PM,20
99664,Before 9 AM,30
99759,5 PM - before 9 PM,30
99759,Before 9 AM,30
99772,Before 9 AM,30
99802,Before 9 AM,30
