ID,Needstates,Day#Daypart,NeedstateGroup
89100,Drinking coffee,Overall,Drinking beverages
89100,Drinking ice-blended,Overall,Drinking beverages
89100,Drinking tea,Overall,Drinking beverages
89100,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
89100,Socialzing,Overall,Socializing
89101,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
89101,Socialzing,Overall,Socializing
89102,Drinking coffee,Overall,Drinking beverages
89102,Drinking ice-blended,Overall,Drinking beverages
89102,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
89102,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
89102,Socialzing,Overall,Socializing
89102,Studying / Reading books,Overall,Studying & Others
89613,Drinking coffee,Overall,Drinking beverages
89613,Socialzing,Overall,Socializing
89616,Socialzing,Overall,Socializing
89618,Relaxing (Alone),Overall,Relaxing & entertainment
89618,Socialzing,Overall,Socializing
89618,Studying / Reading books,Overall,Studying & Others
89963,Drinking coffee,Overall,Drinking beverages
89963,Relaxing (Alone),Overall,Relaxing & entertainment
89963,Socialzing,Overall,Socializing
89965,Drinking coffee,Overall,Drinking beverages
89965,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
89965,Socialzing,Overall,Socializing
89967,Drinking coffee,Overall,Drinking beverages
89967,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
90338,Have snack / pastry,Overall,Meals & Snack
90338,Socialzing,Overall,Socializing
90339,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
90339,Relaxing (Alone),Overall,Relaxing & entertainment
90418,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
90418,Socialzing,Overall,Socializing
90418,Working / Business meeting,Overall,Working & business meeting
90419,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
90419,Socialzing,Overall,Socializing
90421,Drinking coffee,Overall,Drinking beverages
90421,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
90421,Socialzing,Overall,Socializing
90422,Drinking coffee,Overall,Drinking beverages
90422,Socialzing,Overall,Socializing
90423,Drinking coffee,Overall,Drinking beverages
90423,Socialzing,Overall,Socializing
90424,Drinking coffee,Overall,Drinking beverages
90424,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
90424,Drinking tea,Overall,Drinking beverages
90424,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
90424,Socialzing,Overall,Socializing
90424,Studying / Reading books,Overall,Studying & Others
90519,Drinking coffee,Overall,Drinking beverages
90519,Socialzing,Overall,Socializing
91139,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
