No#,Brand,City,Year,StoreCount
98,Highlands Coffee,Cần Thơ,2018,5
230,Trung Nguyên,Hà Nội,2019,8
234,Trung Nguyên,Nha Trang,2019,3
210,The Coffee House,Bình Dương,2019,1
80,Cộng Cà Phê,Cần Thơ,2018,0
115,Highlands Coffee,Tiền Giang,2018,1
124,Phúc Long,Nha Trang,2018,1
101,Highlands Coffee,Hà Nội,2018,75
165,Cộng Cà Phê,Lào Cai,2019,1
188,Highlands Coffee,Quảng Nam,2019,2
175,Highlands Coffee,Bình Dương,2019,11
214,The Coffee House,Đồng Nai,2019,2
16,Cộng Cà Phê,Thừa Thiên Huế,2017,0
23,Highlands Coffee,Hà Nội,2017,57
166,Cộng Cà Phê,Nha Trang,2019,1
191,Highlands Coffee,Thanh Hóa,2019,4
96,Highlands Coffee,Bình Định,2018,1
211,The Coffee House,Cần Thơ,2019,3
11,Cộng Cà Phê,Quảng Nam,2017,1
117,Phúc Long,Bình Dương,2018,2
63,The Coffee House,Nghệ An,2017,0
180,Highlands Coffee,Hải Phòng,2019,14
10,Cộng Cà Phê,Nha Trang,2017,1
223,The Coffee House,Tiền Giang,2019,1
5,Cộng Cà Phê,Hà Nội,2017,26
228,Trung Nguyên,Đắk Lắk,2019,1
56,The Coffee House,Đà Nẵng,2017,5
19,Highlands Coffee,Bình Dương,2017,7
158,Cộng Cà Phê,Cần Thơ,2019,0
103,Highlands Coffee,Hồ Chí Minh,2018,104
136,The Coffee House,Đồng Nai,2018,2
114,Highlands Coffee,Thừa Thiên Huế,2018,5
174,Highlands Coffee,Bình Định,2019,2
141,The Coffee House,Nghệ An,2018,3
216,The Coffee House,Hải Phòng,2019,4
161,Cộng Cà Phê,Hà Nội,2019,32
41,Phúc Long,Đà Nẵng,2017,1
79,Cộng Cà Phê,Bắc Ninh,2018,0
20,Highlands Coffee,Cần Thơ,2017,4
120,Phúc Long,Đồng Nai,2018,0
123,Phúc Long,Hồ Chí Minh,2018,36
39,Phúc Long,Bình Dương,2017,2
76,Trung Nguyên,Hồ Chí Minh,2017,33
83,Cộng Cà Phê,Hà Nội,2018,32
209,The Coffee House,Bắc Ninh,2019,2
229,Trung Nguyên,Hà Nam,2019,1
176,Highlands Coffee,Cần Thơ,2019,5
121,Phúc Long,Hà Nội,2018,0
42,Phúc Long,Đồng Nai,2017,0
105,Highlands Coffee,Long An,2018,1
67,The Coffee House,Tiền Giang,2017,0
128,Starbucks,Hải Phòng,2018,1
156,Trung Nguyên,Nha Trang,2018,3
126,Starbucks,Đà Nẵng,2018,1
151,Trung Nguyên,Hà Nam,2018,1
196,Phúc Long,Cần Thơ,2019,1
22,Highlands Coffee,Đồng Nai,2017,9
24,Highlands Coffee,Hải Phòng,2017,9
190,Highlands Coffee,Thái Bình,2019,1
189,Highlands Coffee,Quảng Ninh,2019,4
60,The Coffee House,Hải Phòng,2017,0
82,Cộng Cà Phê,Gyeonggi,2018,1
64,The Coffee House,Nha Trang,2017,0
78,Trung Nguyên,Nha Trang,2017,2
164,Cộng Cà Phê,Lạng Sơn,2019,1
86,Cộng Cà Phê,Lạng Sơn,2018,1
159,Cộng Cà Phê,Đà Nẵng,2019,2
127,Starbucks,Hà Nội,2018,15
215,The Coffee House,Hà Nội,2019,28
144,The Coffee House,Thừa Thiên Huế,2018,1
201,Phúc Long,Hồ Chí Minh,2019,39
232,Trung Nguyên,Hồ Chí Minh,2019,43
47,Starbucks,Cần Thơ,2017,0
118,Phúc Long,Cần Thơ,2018,0
168,Cộng Cà Phê,Quảng Ninh,2019,1
207,Starbucks,Hồ Chí Minh,2019,33
3,Cộng Cà Phê,Đà Nẵng,2017,2
2,Cộng Cà Phê,Cần Thơ,2017,0
171,Cộng Cà Phê,Thanh Hóa,2019,1
135,The Coffee House,Đắk Lắk,2018,2
212,The Coffee House,Đà Nẵng,2019,9
17,Highlands Coffee,Bắc Ninh,2017,2
179,Highlands Coffee,Hà Nội,2019,84
53,The Coffee House,Bắc Ninh,2017,0
157,Cộng Cà Phê,Bắc Ninh,2019,1
119,Phúc Long,Đà Nẵng,2018,2
220,The Coffee House,Nha Trang,2019,1
57,The Coffee House,Đắk Lắk,2017,0
38,Highlands Coffee,Vũng Tàu,2017,5
74,Trung Nguyên,Hà Nội,2017,6
88,Cộng Cà Phê,Nha Trang,2018,1
77,Trung Nguyên,Lào Cai,2017,1
106,Highlands Coffee,Nam Định,2018,1
199,Phúc Long,Hà Nội,2019,3
13,Cộng Cà Phê,Seoul,2017,1
173,Highlands Coffee,Bắc Ninh,2019,4
32,Highlands Coffee,Quảng Nam,2017,1
66,The Coffee House,Thừa Thiên Huế,2017,0
146,The Coffee House,Vũng Tàu,2018,3
75,Trung Nguyên,Hải Phòng,2017,0
193,Highlands Coffee,Tiền Giang,2019,1
181,Highlands Coffee,Hồ Chí Minh,2019,113
68,The Coffee House,Vũng Tàu,2017,1
125,Starbucks,Cần Thơ,2018,0
1,Cộng Cà Phê,Bắc Ninh,2017,0
28,Highlands Coffee,Nam Định,2017,1
25,Highlands Coffee,Hồ Chí Minh,2017,85
167,Cộng Cà Phê,Quảng Nam,2019,1
140,The Coffee House,Hưng Yên,2018,1
122,Phúc Long,Hải Phòng,2018,0
52,Starbucks,Nha Trang,2017,0
48,Starbucks,Đà Nẵng,2017,0
89,Cộng Cà Phê,Quảng Nam,2018,1
194,Highlands Coffee,Vũng Tàu,2019,6
113,Highlands Coffee,Thanh Hóa,2018,4
150,Trung Nguyên,Đắk Lắk,2018,1
59,The Coffee House,Hà Nội,2017,11
27,Highlands Coffee,Long An,2017,0
90,Cộng Cà Phê,Quảng Ninh,2018,1
73,Trung Nguyên,Hà Nam,2017,0
200,Phúc Long,Hải Phòng,2019,0
109,Highlands Coffee,Phú Thọ,2018,1
34,Highlands Coffee,Thái Bình,2017,1
153,Trung Nguyên,Hải Phòng,2018,0
30,Highlands Coffee,Nha Trang,2017,5
7,Cộng Cà Phê,Hồ Chí Minh,2017,8
33,Highlands Coffee,Quảng Ninh,2017,3
102,Highlands Coffee,Hải Phòng,2018,13
154,Trung Nguyên,Hồ Chí Minh,2018,42
51,Starbucks,Hồ Chí Minh,2017,21
110,Highlands Coffee,Quảng Nam,2018,2
43,Phúc Long,Hà Nội,2017,0
213,The Coffee House,Đắk Lắk,2019,2
18,Highlands Coffee,Bình Định,2017,0
155,Trung Nguyên,Lào Cai,2018,1
107,Highlands Coffee,Nghệ An,2018,3
198,Phúc Long,Đồng Nai,2019,1
36,Highlands Coffee,Thừa Thiên Huế,2017,2
178,Highlands Coffee,Đồng Nai,2019,11
233,Trung Nguyên,Lào Cai,2019,1
192,Highlands Coffee,Thừa Thiên Huế,2019,5
54,The Coffee House,Bình Dương,2017,0
222,The Coffee House,Thừa Thiên Huế,2019,2
116,Highlands Coffee,Vũng Tàu,2018,5
202,Phúc Long,Nha Trang,2019,1
183,Highlands Coffee,Long An,2019,1
45,Phúc Long,Hồ Chí Minh,2017,25
221,The Coffee House,Thanh Hóa,2019,1
163,Cộng Cà Phê,Hồ Chí Minh,2019,14
87,Cộng Cà Phê,Lào Cai,2018,1
217,The Coffee House,Hồ Chí Minh,2019,84
206,Starbucks,Hải Phòng,2019,2
177,Highlands Coffee,Đà Nẵng,2019,20
55,The Coffee House,Cần Thơ,2017,0
170,Cộng Cà Phê,Thái Nguyên,2019,1
147,Trung Nguyên,Bình Dương,2018,2
92,Cộng Cà Phê,Thái Nguyên,2018,1
8,Cộng Cà Phê,Lạng Sơn,2017,0
208,Starbucks,Nha Trang,2019,0
29,Highlands Coffee,Nghệ An,2017,3
65,The Coffee House,Thanh Hóa,2017,0
203,Starbucks,Cần Thơ,2019,0
94,Cộng Cà Phê,Thừa Thiên Huế,2018,1
4,Cộng Cà Phê,Gyeonggi,2017,0
133,The Coffee House,Cần Thơ,2018,1
205,Starbucks,Hà Nội,2019,18
139,The Coffee House,Hồ Chí Minh,2018,79
61,The Coffee House,Hồ Chí Minh,2017,55
132,The Coffee House,Bình Dương,2018,1
134,The Coffee House,Đà Nẵng,2018,9
160,Cộng Cà Phê,Gyeonggi,2019,1
104,Highlands Coffee,Hưng Yên,2018,1
137,The Coffee House,Hà Nội,2018,24
130,Starbucks,Nha Trang,2018,0
46,Phúc Long,Nha Trang,2017,0
37,Highlands Coffee,Tiền Giang,2017,0
111,Highlands Coffee,Quảng Ninh,2018,3
31,Highlands Coffee,Phú Thọ,2017,0
182,Highlands Coffee,Hưng Yên,2019,1
14,Cộng Cà Phê,Thái Nguyên,2017,0
26,Highlands Coffee,Hưng Yên,2017,1
50,Starbucks,Hải Phòng,2017,1
58,The Coffee House,Đồng Nai,2017,1
49,Starbucks,Hà Nội,2017,9
184,Highlands Coffee,Nam Định,2019,1
91,Cộng Cà Phê,Seoul,2018,2
148,Trung Nguyên,Cần Thơ,2018,4
186,Highlands Coffee,Nha Trang,2019,10
149,Trung Nguyên,Đà Nẵng,2018,1
224,The Coffee House,Vũng Tàu,2019,3
162,Cộng Cà Phê,Hải Phòng,2019,2
15,Cộng Cà Phê,Thanh Hóa,2017,0
231,Trung Nguyên,Hải Phòng,2019,0
185,Highlands Coffee,Nghệ An,2019,4
95,Highlands Coffee,Bắc Ninh,2018,4
169,Cộng Cà Phê,Seoul,2019,3
131,The Coffee House,Bắc Ninh,2018,2
197,Phúc Long,Đà Nẵng,2019,2
72,Trung Nguyên,Đắk Lắk,2017,1
152,Trung Nguyên,Hà Nội,2018,8
225,Trung Nguyên,Bình Dương,2019,2
62,The Coffee House,Hưng Yên,2017,0
84,Cộng Cà Phê,Hải Phòng,2018,1
21,Highlands Coffee,Đà Nẵng,2017,15
69,Trung Nguyên,Bình Dương,2017,2
97,Highlands Coffee,Bình Dương,2018,11
9,Cộng Cà Phê,Lào Cai,2017,1
204,Starbucks,Đà Nẵng,2019,3
71,Trung Nguyên,Đà Nẵng,2017,1
93,Cộng Cà Phê,Thanh Hóa,2018,0
195,Phúc Long,Bình Dương,2019,2
44,Phúc Long,Hải Phòng,2017,0
99,Highlands Coffee,Đà Nẵng,2018,19
143,The Coffee House,Thanh Hóa,2018,1
12,Cộng Cà Phê,Quảng Ninh,2017,1
226,Trung Nguyên,Cần Thơ,2019,4
187,Highlands Coffee,Phú Thọ,2019,1
129,Starbucks,Hồ Chí Minh,2018,28
112,Highlands Coffee,Thái Bình,2018,1
218,The Coffee House,Hưng Yên,2019,1
6,Cộng Cà Phê,Hải Phòng,2017,1
108,Highlands Coffee,Nha Trang,2018,9
219,The Coffee House,Nghệ An,2019,3
85,Cộng Cà Phê,Hồ Chí Minh,2018,12
138,The Coffee House,Hải Phòng,2018,4
35,Highlands Coffee,Thanh Hóa,2017,3
145,The Coffee House,Tiền Giang,2018,1
142,The Coffee House,Nha Trang,2018,0
81,Cộng Cà Phê,Đà Nẵng,2018,2
227,Trung Nguyên,Đà Nẵng,2019,1
172,Cộng Cà Phê,Thừa Thiên Huế,2019,1
40,Phúc Long,Cần Thơ,2017,0
70,Trung Nguyên,Cần Thơ,2017,4
100,Highlands Coffee,Đồng Nai,2018,10
