ID;City;Year;Needstates;Day#Daypart;NeedstateGroup
725118;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
725466;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
726561;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
726862;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
727015;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
727219;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
727340;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
727611;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
727990;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
728002;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
728177;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
729081;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730037;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730271;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730433;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730445;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730448;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730472;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730624;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730932;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730957;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
730965;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731070;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731084;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731148;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731268;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731273;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731481;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731526;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731691;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731740;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731807;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731843;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
731932;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
732361;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
732706;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
732719;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
732732;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
732958;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733574;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733720;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733736;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733740;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733939;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733977;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733985;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
733988;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734152;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734169;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734255;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734438;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734563;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734677;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734740;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
734754;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
735043;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
735059;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
735066;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
735957;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
736467;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
736777;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
736894;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
737074;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
737382;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
737467;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
737514;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
737543;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
737758;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738009;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738010;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738244;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738307;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738426;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738435;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738653;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738694;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738942;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
738997;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
739684;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
739792;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
739972;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
740084;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
740497;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
740785;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
741281;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
741655;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
742309;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
742385;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
742701;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
743123;Hà Nội;2019;Drinking coffee;Overall;Drinking beverages
